query,result
what is the best method for brewing green tea without it getting bitter,1
should i wash my jeans after every single wear,1
whats the best way to negotiate a starting salary,1
is it generally better to sleep with a fan on,1
what is the best approach to writing a cover letter today,1
as a first time manager what should I know about delegating tasks,1
if someone wants to transition into project management where should they start,1
for someone learning to bake what are the most important principles of yeast,1
as a new parent what should i expect during the teething phase,1
if a person wants to run a marathon how long does training typically take,1
for a beginner in chess what are the basic opening principles,1
as a fresh college grad what does a standard 401k match look like,1
if someone is adopting a cat for the first time what supplies are strictly necessary,1
for a person trying to build muscle what is the role of protein synthesis,1
as an entry level data analyst what should i know about sql joins,1
if someone wants to start a podcast what equipment is standard,1
for a beginner gardener what are the easiest vegetables to grow,1
as a first time homebuyer what exactly is closing cost,1
if a person wants to learn woodworking what are the essential hand tools,1
for someone traveling internationally for the first time how do customs work,1
as a junior copywriter what makes a headline actually effective,1
if someone wants to understand modern art what movements should they look at first,1
for a novice investor what exactly is an etf,1
as a new dog owner what are the core vaccines dogs need,1
if a person wants to improve their credit score what are the main factors,1
for someone learning about space what is the difference between a meteor and an asteroid,1
as a first time backpacker what should a basic first aid kit contain,1
if someone wants to write a novel what is the typical three act structure,1
for a beginner at yoga what are the most common poses called,1
as a new driver what should i know about hydroplaning,1
if a person wants to learn piano what do the black keys actually do,1
for someone starting a small business what is the difference between an llc and a sole proprietorship,1
as a first time landlord what are the standard rules for security deposits,1
if someone wants to understand world war 2 what were the main alliances,1
for a beginner cook what is the difference between baking powder and baking soda,1
as a new freelance writer how do standard net-30 payment terms work,1
if a person wants to learn about philosophy who are the main ancient greek philosophers,1
for someone building a pc what exactly does the motherboard do,1
as a junior designer what is the difference between rgb and cmyk color modes,1
if someone wants to understand economics what is the difference between micro and macro,1
for a beginner in astronomy how do telescopes actually magnify things,1
as a first time car buyer what is the difference between financing and leasing,1
if a person wants to get into bird watching what are the best times of day to go,1
for someone learning to knit what is the difference between the knit and purl stitch,1
as an amateur photographer what exactly does the iso setting do,1
wait so how does a microwave actually heat up food,1
ok but what actually is the point of the appendix in the human body,1
hang on whats the real difference between a virus and a bacteria,1
so why does ice float in water instead of sinking,1
wait why do we even have leap years in the calendar,1
ok but how does a touchscreen actually know where my finger is,1
hang on what exactly causes a rainbow to form,1
so how does a submarine actually dive and surface,1
wait why does the moon have phases if it just reflects the sun,1
ok but what is the actual difference between weather and climate,1
hang on why do leaves change color in the fall,1
so how do magnets actually attract each other,1
wait why do we yawn when we see other people yawn,1
ok but what actually is inflation and why does it happen,1
hang on whats the real difference between a hurricane and a typhoon,1
so how does an airplane actually stay up in the sky,1
wait why do we need sleep anyway,1
ok but how do noise cancelling headphones actually block sound,1
hang on what is the actual difference between a crocodile and an alligator,1
so why does cutting an onion make you cry,1
wait so how does bluetooth actually connect devices without wires,1
ok but what actually is a black hole if it's not just an empty hole,1
hang on whats the real difference between a psychologist and a psychiatrist,1
so how do fireflies actually make their own light,1
wait why does helium make your voice sound so high pitched,1
ok but how does a barcode scanner actually read those lines,1
hang on what exactly causes earthquakes to happen,1
so why do cats purr when they are happy,1
wait so how does a compass always know which way is north,1
ok but what actually is a calorie in terms of food energy,1
hang on whats the real difference between baking and roasting,1
so how do solar panels actually turn sunlight into electricity,1
wait why do some people have dimples and others dont,1
ok but how does a lie detector test actually work,1
hang on what exactly is the ozone layer and what does it do,1
so why do we have different blood types in the first place,1
wait so how does a refrigerator actually keep things cold inside,1
ok but what actually is cryptocurrency and how is it made,1
hang on whats the real difference between a stalactite and a stalagmite,1
so how do 3d glasses actually make the movie look 3d,1
what did you mean by that,0
explain that again,0
wait what was the last one,0
elaborate on the second point,0
why did you suggest that,0
can you break that down further,0
what is it exactly,0
show me more like this,0
i dont understand this part,0
give me more details on the first option,0
who said that,0
when did that happen,0
how does that work though,0
why is it like that,0
tell me more about her,0
what was his reasoning for that,0
can you rephrase that last sentence,0
what are those made of,0
how much would this cost me,0
is that actually true,0
i prefer the third one,0
let's go with the former,0
what about the latter,0
which of those is better,0
compare those two,0
can we go back to the first point,0
what was that acronym again,0
explain it to me like im 5,0
why are they doing that,0
give me the source for that,0
tell me more about this approach,0
how long does that take,0
what if i dont want to do that,0
skip that part,0
what does that look like,0
give me a concrete example of that,0
where did you find that,0
is this a common issue,0
how can i fix this,0
what causes that,0
how do i use it,0
when should i apply this,0
is that safe,0
wait go back to what you just said,0
what does the first one mean,0
i want to learn more about the last topic,0
why do you recommend that one,0
how old is he,0
are those available here,0
can you give me more context on that,0
make it shorter,0
expand on this please,0
now rewrite it for a 5th grader,0
translate to spanish,0
put that into a bulleted list,0
turn this into a table,0
can you make it sound more professional,0
generate three more examples,0
keep going,0
tell me more,0
continue,0
what happens next,0
write an email using those points,0
now do the same thing but for python,0
give me a java version,0
add more detail,0
summarize the whole thing,0
make it funnier,0
rewrite it without the jargon,0
make it longer and more detailed,0
give me another one,0
can you provide one more,0
give me a totally different example,0
what else is there,0
anything else i should know,0
add some jokes to it,0
change the tone to be more casual,0
cut out the fluff,0
write it as a tweet,0
format it as a markdown table,0
convert that to json,0
now explain it in reverse,0
add citations,0
give me the step by step instructions,0
write the code for it,0
show me the command line version,0
give me the api payload for this,0
write a test case for it,0
add comments to the code,0
optimize it for performance,0
make it work for windows,0
how would a beginner do it,0
write a short intro for this,0
make the ending stronger,0
give me a checklist based on this,0
now tell me the opposite,0
give me a real world scenario,0
add a bibliography,0
write a bash script for it,0
do it again but better,0
what are the downsides,0
is there a simpler way,0
how about performance,0
would it work for large datasets,0
any alternatives worth considering,0
what are the pros and cons,0
how long would setup take,0
is there a free version,0
what happens if the server crashes,0
what are the security risks,0
is the installation difficult,0
will this scale,0
what are the prerequisites,0
do i need any special hardware,0
what if the user has a mac,0
are there any side effects,0
what are the long term consequences,0
is there an open source alternative,0
how does it compare to the industry standard,0
what are the edge cases,0
is there a faster way to do it,0
how much overhead does it add,0
what is the worst case scenario,0
will it break existing code,0
what are the system requirements,0
how do i troubleshoot errors,0
is there a gui for it,0
what if my internet goes down,0
are there hidden fees,0
what is the success rate,0
can it run offline,0
how do you test it,0
what is the maintenance like,0
how steep is the learning curve,0
what is the community support like,0
does it require a license,0
how often is it updated,0
what are the common pitfalls,0
how do i deploy it,0
what is the latency like,0
is it backward compatible,0
what is the carbon footprint,0
can it be automated,0
how do you handle migrations,0
what are the best practices,0
are there any known bugs,0
what is the expected lifespan,0
how do you secure it,0
what are the storage requirements,0
does it support multiple languages,0
are you sure about that,0
that doesnt seem right to me,0
wait i thought it worked differently,0
but earlier you said something else,0
can you double check that answer,0
is that actually correct,0
check your math,0
i dont think thats true,0
that contradicts your previous point,0
hold on that makes no sense,0
are you absolutely certain,0
wait a minute,0
what do you mean by that,0
i'm confused,0
that cant be right,0
aren't you forgetting something,0
what about the other rule,0
i read somewhere else that it was different,0
that feels like a hallucination,0
wait let me clarify,0
you misunderstood my question,0
no thats not what i meant,0
im asking something else,0
try again,0
you didn't answer my question,0
why are you assuming that,0
that logic is flawed,0
where did you get that information,0
you skipped the most important part,0
wait slow down,0
i completely disagree,0
that's a terrible idea,0
why would anyone do it that way,0
are you just guessing,0
that seems way too complicated,0
isn't there an easier explanation,0
you just contradicted yourself,0
hold up did you mean to say yes,0
that doesn't answer the prompt,0
what are you talking about,0
i feel like you missed the point,0
that advice is outdated,0
are you sure the syntax is correct,0
the code you gave me throws an error,0
why did you completely change the subject,0
isn't that illegal though,0
that doesn't sound safe,0
i seriously doubt that,0
wait huh,0
im lost,0
"i've been a high school math teacher for 8 years and want to transition to data analysis, how should I structure my resume",0
"got an offer from amazon but I hear the wlb is terrible, im currently at a chill mid size company making 20% less, what should I do",0
"i have a 3 year employment gap due to a severe illness, how do I explain this in interviews without sounding like a liability",0
"my manager promised me a promotion last cycle but didn't deliver, should I look for a new job or wait another 6 months",0
"im a staff engineer but I hate managing people, my company forces staff to do 50% people management, should I demote myself to senior",0
"i just got laid off and have an H1B visa with 60 days to find a job, what is the fastest way to get interviews right now",0
"i have an offer for 120k in NYC and 95k in Chicago, which one will give me a better standard of living as a single person",0
"I am a self taught frontend dev with 1 YOE, am I ready to apply for full stack roles or should I wait",0
"i've been at the same defense contractor for 15 years and want to move to big tech, am I too old/outdated for them to consider me",0
"my startup just got acquired and my equity is worth about 500k, should I stay for the 2 year vest or leave because I hate the acquiring company",0
"i got fired for performance 2 months ago, do I tell my next employer the truth or just say it was a layoff",0
"i am an introverted product manager and struggle to command the room during all hands meetings, what specific tactics can I use",0
"im a nurse practitioner burnt out from bedside care, what are some remote non-clinical roles I can pivot to with my degree",0
"i work in marketing but my company wants me to take over the sales team, I have zero sales experience, is this a trap",0
"i just graduated with a mechanical engineering degree but realized I want to do software, how do I pivot without going back to school",0
"my current TC is 150k, I just got an offer for 160k but much worse benefits, how do I leverage this to get a raise at my current job",0
"i am a freelance graphic designer making around 60k, should I take a full time agency job for 80k even if it means losing my flexibility",0
"i passed the technical screen but they said they want someone with more system design experience, how do I counter this",0
"im the only woman on a 15 person engineering team and feel constantly talked over, how should I bring this up to my male manager",0
"i have 5 years of QA automation experience but want to be a core backend dev, will companies downlevel me if I switch",0
"my company is forcing RTO 5 days a week but I moved 2 hours away during covid, what are my options",0
"im an L5 at aws and my manager just put me on a pivot plan, should I try to survive it or just spend all my time interviewing",0
"i've been doing IT support for 4 years and have my compTIA trio, what is the exact next step to get a cybersecurity analyst role",0
"my cofounder and I are splitting up, I wrote 90% of the code but he has all the business contacts, how should we value my buyout",0
"i want to ask for a 20% raise because I took on the work of a coworker who quit, how exactly do I frame this conversation tomorrow",0
"im a barista right now but im doing the google data analytics cert, is this actually enough to get an entry level job in this market",0
"i have an offer for a contract to hire role, I currently have a full time job that is toxic, is the risk of contract worth it",0
"i am a technical writer but AI is making me nervous about job security, what adjacent field should I pivot to",0
"i am based in india working for a US startup, they pay me in INR but I want to negotiate being paid in USD, how do I approach this",0
"i have a criminal record from a misdemeanor 7 years ago, how do I navigate background checks for banking tech roles",0
"i got promoted to engineering manager but I miss coding, it's been 1 year, is it a bad look to ask to go back to IC",0
"im a chef who works 70 hours a week, I want to learn to code but have zero energy, what is a realistic timeline for me to escape this industry",0
"i have two offers, one is a seed stage startup with massive equity and the other is a slow moving bank with a huge base salary, im 25 with no debt, what do i choose",0
"my boss is leaving and recommended me to take over the department, but the director wants to hire externally, how do I prove im ready",0
"i am a social media manager for a b2b company and hate it, can I use this experience to get into PR or corporate comms",0
"i just had a baby and am returning from maternity leave, I want to ask to go down to 4 days a week, how do I negotiate this",0
"i have 10 years of experience in oil and gas engineering but want to move to renewables, will I have to take a pay cut",0
"my coworker makes 30% more than me for the exact same role and I just found out, how do I bring this up to HR without getting them in trouble",0
"im a UX researcher but my company is cutting our whole department, can I easily pivot to UX design or do I need a portfolio from scratch",0
"i want to quit my job to travel for a year, I have 100k saved but im terrified it will ruin my career trajectory as a mid level dev, will it",0
"i am currently a paralegal wanting to go to law school, but im 32 and it would mean 150k in debt, is the ROI worth it at my age",0
"i got a return offer from my internship but I didn't love the team, should I accept it as a backup while I recruit for other places",0
"i've been at my first job for 6 months and it's completely disorganized and I'm learning nothing, is it too early to jump ship",0
"im a classical musician whose orchestra went bankrupt, what corporate jobs value my specific skillset",0
"i am a senior devops engineer but I want to become a technical sales engineer, how do I convince recruiters I have the soft skills",0
"i just got a pip warning today, my manager says it's informal right now but I don't trust him, what exactly should I do tonight",0
"i have a biology degree but no lab experience, only retail, how do I get my first entry level lab tech job",0
"im an executive assistant to a CEO and do half of his ops work, how do I transition my title to Chief of Staff",0
"i got rejected after a 7 round interview process, they said culture fit, should I ask for specific feedback or just move on",0
"i'm 45 and a mid-level QA manual tester, my company is automating everything, what is the easiest automation tool for me to learn fast to keep my job",0
"i know basic html and css, what should I learn next to build a full stack ecommerce site for my wife's business",0
"I have 3 weeks until my amazon SDE2 loop and I haven't done leetcode in 4 years, what topics should I prioritize",0
"im terrible at math, barely passed algebra, can I still become a frontend developer or does it require heavy math",0
"i am a native spanish speaker learning english, I struggle specifically with professional email etiquette, what are the rules I need to know",0
"i have adhd and cannot watch long video tutorials, how should I approach learning react from scratch",0
"im a project manager trying to learn SQL to pull my own reports, what is the minimum I need to learn to just query a postgres database",0
"i want to learn 3d modeling for 3d printing miniatures, should I start with blender or fusion 360 given I have no design background",0
"i have 6 months of runway to learn game dev and launch an indie game, I know C#, should I use unity or godot right now",0
"i am 50 years old and have never used a computer for more than email, where do I start if I want to learn how to use excel for budgeting",0
"i already know java and spring boot very well, what is the quickest way for me to pick up go for a new job requirement",0
"i want to learn Mandarin but only care about speaking it with my in-laws, not reading or writing, what is the best approach",0
"i have dyslexia and struggle to read heavy documentation, what is the most visual way to learn AWS cloud architecture",0
"i am a classical pianist wanting to learn jazz improvisation, I know all my scales but get paralyzed without sheet music, how do I break this",0
"i want to get into bug bounty hunting, I know basic networking and linux but no programming, what should my first 3 months look like",0
"i have a long commute, 2 hours a day, what are the best audio only resources to learn the concepts of system design without looking at a screen",0
"im a mechanic wanting to restore a 1960s mustang, I know modern engines but nothing about carburetors, where do I start learning",0
"i want to learn photography but only have a google pixel 7, not a dslr, can I still learn the fundamentals of composition and lighting",0
"i know intermediate python and pandas, how do I make the jump to actually deploying machine learning models in production",0
"i have terrible flexibility but want to learn to do the splits for martial arts, im 30, is a 6 month timeline realistic if I stretch daily",0
"i am trying to learn guitar but my hands are very small and I can't do barre chords, are there alternative voicings I should learn instead",0
"I want to build an iOS app but I only have a windows PC, what is the best framework for me to learn right now",0
"i am an accountant trying to automate my data entry, should I learn VBA for excel or python",0
"i have 1 week to prepare for the AWS solutions architect associate exam, I took a practice test and got 40%, how do I cram for this",0
"i want to get into ethical hacking but I only have a macbook air with 8gb ram, can I run the necessary VMs on this machine",0
"i am a visual learner and want to understand how docker works under the hood, I don't want just the commands, how should I learn this",0
"i know ruby on rails but the market is dead in my city, what backend framework is the easiest pivot for a rails dev",0
"i am trying to learn chess but I keep getting stuck at 800 elo, I only study openings, what should I actually be studying",0
"i want to learn how to day trade crypto but I work a full time job from 9 to 5 est, what markets or strategies fit my schedule",0
"i have dyscalculia but want to learn to knit, following complex stitch counts is impossible for me, what types of projects should I start with",0
"i am a senior high school student who wants to self study for the AP physics C exam, my school doesn't offer it, what textbook is best for self teaching",0
"i want to learn digital painting, I have an ipad and procreate but no drawing experience, should I learn traditional drawing first",0
"i know react native but I want to build a high performance graphics app, should I learn swift or c++",0
"i have 2 months before a trip to japan, I want to learn enough japanese to order food and ask for directions, what is the most efficient method",0
"i am a backend dev trying to learn css, I understand flexbox but css grid completely confuses me, how do I mentally model grid",0
"i want to learn video editing for youtube, I have a decent gaming pc but zero budget for software, what should I learn",0
"i am trying to run a sub 20 minute 5k, my current PR is 23 mins and I only have 3 days a week to train, what should my workouts be",0
"i know how to sew basic garments but I want to learn pattern drafting, I am terrible at math, is there a visual method to drafting",0
"i want to learn public speaking but I have a severe stutter when I get nervous, what techniques can help me specifically",0
"i am a frontend developer who wants to understand Web3 and smart contracts, I know JS, should I learn Solidity or Rust first",0
"i want to learn how to fix my own bicycle, I have zero mechanical intuition and only basic tools, what is the most forgiving repair to start with",0
"i am learning korean but struggle immensely with pronunciation of the double consonants, how can an english speaker master these",0
"i want to learn UI design but I have zero artistic ability, can I still be a good designer by just following rules and systems",0
"i am a doctor wanting to learn health informatics, do I need to learn how to code or just understand the database structures",0
"i have 1 month to learn enough sign language to communicate with my new deaf coworker, what vocabulary should I prioritize",0
"i want to learn ethical hacking but I have a history of doing black hat stuff when I was a teenager, will this prevent me from getting a job",0
"i am a heavy guy trying to learn how to skateboard, what type of board should I get that won't snap under my weight",0
"i know basic statistics but want to understand the math behind neural networks, what specific linear algebra topics do I need",0
"i am a stay at home mom wanting to learn copywriting while my kid naps, what is the fastest path to getting my first paid client",0
"i want to learn to DJ but I mostly listen to heavy metal and classic rock, not EDM, what equipment makes sense for me",0
"i am trying to learn to swim as an adult, I have a deep phobia of putting my face in the water, how do I overcome this first step",0
"i have 50k in savings and 30k in student loans at 6%, should I pay off the loans immediately or invest the savings",0
"my fiance wants a 15k wedding but I'd rather elope and use the money for a house downpayment in california, how do we compromise",0
"i am choosing between a macbook pro m3 pro and a lenovo thinkpad p16 for my computer science degree, I want to do some gaming on the side, which one",0
"i hate my current job but the pay is 200k, my other offer is 130k for a job I would love, im 28 with a mortgage, what should I do",0
"should I do a coding bootcamp for 15k or a WGU online CS degree for about the same price, I already have a BA in history",0
"my husband got a job offer in London and I work remotely in the US, is it worth the tax nightmare for us to move for 2 years",0
"i am building a saas for local plumbers, should I use stripe for payments or paddle, considering I want to handle taxes easily",0
"i have a 2010 honda civic with 150k miles that needs a 2k transmission repair, should I fix it or just buy a new used car in this market",0
"im deciding between getting a dog or a cat, I work 10 hours a day and live in an apartment, but I really want a companion that will cuddle",0
"should I buy a condo in a tier 1 city or a single family home in the suburbs, I am single and hate yard work but want property value appreciation",0
"i have 5 days for a vacation in november, im flying out of NYC and want warm weather but hate crowded resorts, where should I go",0
"i am trying to pick a health insurance plan, I have type 1 diabetes and need expensive insulin every month, should I do the high deductible or the platinum PPO",0
"i want to buy a 3d printer for under $300, I just want it to work out of the box without tinkering, bambu lab a1 mini or something else",0
should I break up with my girlfriend of 4 years if she wants kids in the next 2 years and I'm still not sure if I ever want them,0
"i am choosing between AWS and GCP for a machine learning side project, I have zero cloud experience and a budget of $50 a month",0
"i want to start a youtube channel about mechanical keyboards, should I invest $1000 in camera gear or just use my iphone 15 pro",0
"i have an offer for a PM role at Microsoft and a PM role at a Series B AI startup, I want to start my own company in 5 years, which sets me up better",0
"should I pay $2000 for a resume writer and career coach, I've been applying for 6 months with zero interviews for senior UX roles",0
"my parents want to give me 20k for a house downpayment but they are very controlling and will want a key, is the money worth the strings attached",0
"i am trying to pick a project management tool for my 3 person design agency, we tried jira and it was too complex, notion or asana",0
"should I take a gap year before college if I have no idea what I want to major in, my parents are willing to let me live at home",0
"i want to invest in real estate but I only have 10k, should I look into REITs or try to do out of state wholesaling",0
"i am picking a frontend framework for a highly interactive data dashboard, my team only knows vanilla JS, react or svelte",0
"should I get the sony a7iv or the fujifilm x-t5 for street photography, I care more about the colors straight out of camera than video specs",0
"i am an introverted guy trying to start online dating, is hinge or bumble better for someone looking for a serious relationship in their 30s",0
"my lease is up in 2 months, should I renew at a 15% increase or move to a cheaper apartment that adds 30 minutes to my commute",0
"i am building a mobile app that needs to be on iOS and Android, I hate javascript, should I use flutter or kotlin multiplatform",0
"should I buy whole life insurance, my financial advisor is pushing it hard but I keep reading that term life is better for a 30 year old",0
"i want to start a side hustle selling digital planners, should I use etsy which takes a huge cut or shopify where I have to drive my own traffic",0
"i am trying to pick a database for a social media app that will have heavy read loads and a graph-like structure, neo4j or postgres",0
"should I go to my high school reunion if I was bullied heavily but now I am highly successful and want to show off, or is it a bad idea",0
"i have $500 to spend on a home office chair, I have lower back pain and sit for 10 hours a day, used herman miller aeron or a new steelcase series 1",0
"i am deciding between the pixel 8 pro and the galaxy s24 ultra, I care most about the camera for taking pictures of my fast moving toddler",0
"should I put my 2 year old in full time daycare for $2k a month or have my retired mother in law watch him for free, she ignores our parenting rules",0
"i am building a personal blog, I want maximum customization but don't want to manage servers, nextjs with vercel or ghost",0
"should I finance a $40k car at 7% interest if I make $120k a year, I can afford the payment but I know it's a depreciating asset",0
"my friend asked me to co-sign a lease for her, she has terrible credit but a good job, we've been friends for 10 years, should I do it",0
"i am trying to choose a workout program, I want to build muscle but I only have dumbells up to 50lbs at home, no barbell",0
"should I take a 10k paycut to switch from a toxic boss to a new team within the same company, or just leave the company entirely",0
"i am building an API that needs to handle 10k requests per second, I know python but fear it's too slow, should I write it in go instead",0
"should I tell my current boss that I am interviewing, we have a great relationship and I need a reference from him for the new job",0
"i am trying to pick a mattress, I am a side sleeper with shoulder pain and my partner is a back sleeper who runs hot, what type of bed works for both",0
"should I do a masters in computer science if my bachelor's is in biology and I want to be a software engineer, or just do a post-bacc",0
"i have $5000 to invest in myself this year, should I use it to go to an industry conference or hire a private tutor for technical interviews",0
"i am choosing a location for a bachelor party of 8 guys, half of them don't drink but love outdoors, the other half want nightlife, where do we go",0
"should I buy the DJI mini 4 pro or the air 3, I want to take it on hikes so weight matters but I live in a very windy area",0
"i want to start a podcast, I have a deep bass voice and a very echoey room, should I get the shure sm7b or a condenser mic",0
"i am deciding between buying a townhouse with an HOA or a standalone house that needs a new roof, both are the same price",0
"should I use my 10k bonus to pay off my 0% interest credit card debt early, or put it in a high yield savings account until the promo period ends",0
"i am a vegetarian trying to hit 150g of protein a day without dairy, I hate the texture of tofu, what powder or supplement should I buy",0
"my team is split between using graphql and rest for our new microservices, I am the lead, how do I make the final call without alienating half the team",0
"I am the only developer at a non-tech startup, my CEO wants me to build an AI chatbot by next week, how do I explain this is impossible",0
"my manager keeps rejecting my PRs for stylistic choices that aren't in our linter, it's doubling my dev time, how should I handle this",0
"we are a team of 3 engineers with no QA, we push bugs to prod constantly, what is the most lightweight testing strategy we can implement today",0
"i inherited a monolithic django app with no documentation and the original devs all quit, where do I even start to understand the architecture",0
"my coworker refuses to write unit tests and my boss doesn't care, but I am the one who has to fix his bugs on weekends, what do I do",0
"i am building a scraping tool for my side hustle and the target site just implemented cloudflare bot protection, how do I ethically bypass this",0
"our startup database is growing by 50gb a month and queries are slowing down, we use postgres on RDS, do we need to shard or just scale up",0
"my designer hands off figma files that are beautiful but mathematically impossible to build in css grid, how do I communicate technical constraints to him",0
"i have been assigned to mentor a junior dev who literally copies and pastes from chatgpt without understanding the code, how do I correct this behavior",0
"our aws bill just spiked from 1k to 5k this month and I can't figure out why, what tools do I use to track down the rogue resources",0
"my tech lead is a massive bottleneck, he insists on reviewing every single PR but takes 4 days to do it, how do I bring this up to his manager",0
"i am trying to integrate stripe subscriptions into my nextjs app but the webhooks keep failing in local development, what is the best way to test this",0
"our company uses a 10 year old on prem SVN server, how do I write a business case to convince the CTO to migrate us to github",0
"my product manager keeps changing the sprint scope mid-sprint, our velocity is tanking and she blames engineering, how do we stop this",0
"i am building a real time chat app with socket.io, it works great with 10 users but how do I architect it to handle 10,000 concurrent connections",0
"my senior developer is incredibly smart but very condescending in code reviews, making me dread submitting code, how do I address his tone",0
"our frontend is built in angular but the company wants to rewrite it in react, is a gradual migration using micro frontends a good idea or a nightmare",0
"i accidentally dropped the production database this morning, I restored from a backup but we lost 1 hour of data, how do I write the post mortem for this",0
"my team uses agile but our daily standups take 45 minutes because people start problem solving, how do I politely force them to keep it short",0
"i am developing a react native app and the android build works fine but the ios build crashes on startup with zero error logs, how do I debug this",0
"our marketing site is built on wordpress and is incredibly slow, my boss wants to rewrite it but marketing insists on keeping the wp admin panel, solutions?",0
"my coworker has terrible hygiene and it makes working in our open office unbearable, hr is non-existent here, how do I handle this",0
"i am trying to build a custom authentication system from scratch because my boss refuses to pay for auth0 or clerk, what security pitfalls must I avoid",0
"our database schema is a mess with 100+ tables and no foreign keys, what is the safest way to start adding constraints to a live production database",0
"my offshore team is in a 12 hour timezone difference, we only have 30 mins of overlap a day and they are constantly blocked, how do we improve async communication",0
"i am building a web scraper that needs to run daily, should I deploy it on a cron job on an ec2 instance or use something like aws lambda",0
"our QA team takes 2 weeks to manually test every release, how do I convince leadership we need to invest in cypress for e2e automation",0
"my direct report is going through a messy divorce and their performance has tanked for 3 months, I have empathy but my boss is demanding I pip them, what do I do",0
"i am trying to containerize a legacy spring boot app but it requires hardcoded file paths on the host machine, how do I dockerize this without rewriting the app",0
"my company was just acquired and the new CTO wants us to switch from AWS to Azure in 6 months, we have 50 microservices, is this timeline even possible",0
"i am building an inventory management system for a warehouse, they have terrible wifi, how do I architect the web app to work entirely offline and sync later",0
"my coworker keeps pinging me on slack with just 'hello' and waiting for me to respond before asking his question, how do I train him to just ask the question",0
"we have a memory leak in our nodejs backend that only happens in production under heavy load, I can't reproduce it locally, how do I profile this",0
"my project manager uses our 1 on 1s to vent about her own boss instead of discussing my career growth, how do I redirect the conversation",0
"i am building a multi-tenant saas, should I use row-level security in a single database or give every tenant their own database",0
"our devops engineer left and now I am the defacto infrastructure guy, I have no idea how our kubernetes cluster works, what should I check first to ensure we don't go down",0
"my co-developer on a college project refuses to use version control and just emails me zip files of the code, how do I force him to use git",0
"we are building a video streaming app and the AWS data transfer costs are killing us, how do we architect this to use a CDN more effectively",0
"my boss wants me to install tracking software on my personal laptop for my remote job, I am an independent contractor, can I legally refuse this",0
"i am using tailwind css but my html files are becoming completely unreadable due to the long class names, how do I structure this better in a react project",0
"our team has unlimited PTO but nobody takes it because the culture is toxic, I want to take 3 weeks off for my honeymoon, how do I handle the pushback",0
"i am building a search feature for an ecommerce site, should I use elasticsearch or is postgres full text search good enough for 100k products",0
"my junior dev accidentally committed API keys to a public github repo, I revoked them but how do we completely scrub the git history",0
"our company is enforcing a stack ranking system and I have to rate one of my 5 excellent engineers as 'below expectations', how do I handle this ethically",0
"i am trying to implement oauth2 login with google but the redirect uri keeps throwing a mismatch error only on production, what could be causing this",0
"my coworker is clearly overemployed and working another full time job, he misses meetings constantly, should I report him or mind my own business",0
"we have a monolith frontend that takes 15 minutes to build on github actions, what are the best strategies to cache node_modules and speed this up",0
"my boss expects me to be on call 24/7 without extra pay, I am a salaried exempt employee in california, is this legal and how do I push back",0
"i am building a chrome extension that needs to inject content into existing pages, but strict CSPs keep blocking my scripts, how do I architect around this",0
why is my function returning None instead of the expected value,0
can you find the bug in the code above,0
whats wrong with this SQL query,0
is there a more efficient way to write this loop,0
why am I getting this error when I run the script,0
refactor this python class to use dataclasses,0
"my react component is rendering twice, look at this file and tell me why",0
fix the memory leak in the c++ code i just pasted,0
why is this regex not matching the phone numbers in my test cases,0
how do i optimize this nested for loop,0
can u make this script pythonic,0
what is causing a segfault in this snippet,0
check this bash script for any security vulnerabilities,0
why doesn't this css grid layout center my div,0
convert this class component into a functional one with hooks,0
is this rust code idiomatic,0
find the syntax error in this json,0
my api call keeps timing out with this setup,0
why is this query taking 30 seconds to run,0
can you add comments explaining what this regex does,0
rewrite this java method in kotlin,0
im getting a typeerror here what did i do wrong,0
how do i make this typescript interface strictly typed,0
why is my swiftui view not updating when the state changes here,0
help me parallelize this python script using asyncio,0
are there any race conditions in this go routine,0
tell me why this unit test is failing,0
what happens if i pass an empty array to this function,0
can you write a test block for the function above,0
make this html accessible for screen readers,0
why does this python code throw an indentation error,0
can you minify this js code for me,0
how would you improve the error handling in this module,0
find the infinite loop in this block,0
why is the borrow checker mad at this rust code,0
is this smart contract vulnerable to reentrancy attacks,0
format this sql so it's actually readable,0
why is pandas throwing a settingwithcopywarning on this dataframe operation,0
does this ternary operator make sense here,0
how can i mock the database call in this jest test,0
"my flexbox layout breaks on mobile, see attached css",0
what's the time complexity of this sorting algorithm i wrote,0
is it safe to ignore this warning from the compiler,0
why is this python list comprehension so slow,0
change this promise chain to async await,0
add a try catch block to this fetching function,0
"my unittests pass but integration tests fail on this endpoint, what gives",0
why does this dockerfile take 10 minutes to build,0
is this regex susceptible to catastrophic backtracking,0
fix the off by one error in this array iteration,0
can you proofread what I just wrote,0
is my essay argument clear and convincing,0
summarize the document I uploaded,0
make this email sound more professional,0
does my cover letter effectively highlight my strengths,0
translate this paragraph into French,0
rewrite my resume bullet points to sound more impactful,0
can you shorten this paragraph to under 50 words,0
does this introduction sound too academic,0
check this blog post for grammar and flow,0
extract all the action items from this meeting transcript,0
make this apology email to my boss less defensive,0
is the tone of this slack message passive aggressive,0
generate a catchy title for this article,0
summarize the main findings of this research paper,0
turn this rough draft into a polished linkedin post,0
does this thesis statement make sense,0
rephrase this sentence so it's less clunky,0
format these notes into a clean markdown table,0
check my english translation of this spanish poem,0
how can i make this product description more persuasive,0
what are the weak points in my debate opening statement,0
